date,displacement_m
2021-01-05,-0.017508
2021-01-11,-0.018603
2021-01-17,-0.015769
2021-01-23,-0.018518
2021-01-29,-0.017564
2021-02-04,-0.018076
2021-02-10,-0.019748
2021-02-16,-0.016527
2021-02-22,-0.016394
2021-02-28,-0.018327
2021-03-06,-0.020031
2021-03-12,-0.019246
2021-03-18,-0.021113
2021-03-24,-0.022497
2021-03-30,-0.022785
2021-04-05,-0.023134
2021-04-11,-0.024999
2021-04-17,-0.024609
2021-04-29,-0.026661
2021-05-05,-0.026572
2021-05-11,-0.027384
2021-05-17,-0.027805
2021-05-23,-0.027347
2021-06-10,-0.028872
2021-06-22,-0.029486
2021-06-28,-0.029092
2021-07-10,-0.029592
2021-07-16,-0.028005
2021-07-22,-0.029004
2021-08-03,-0.028823
2021-08-09,-0.031501
2021-08-15,-0.028727
2021-08-21,-0.029153
2021-08-27,-0.028239
2021-09-02,-0.028307
2021-09-08,-0.030323
2021-09-14,-0.028938
2021-09-20,-0.029772
2021-09-26,-0.028809
2021-10-02,-0.029317
2021-10-08,-0.031089
2021-10-14,-0.029547
2021-10-20,-0.030870
2021-10-26,-0.029315
2021-11-01,-0.031545
2021-11-07,-0.029241
2021-11-13,-0.028860
2021-11-19,-0.030592
2021-11-25,-0.029900
2021-12-01,-0.031344
2021-12-07,-0.029714
2021-12-13,-0.030771
2021-12-19,-0.031596
2021-12-25,-0.033862
2022-01-06,-0.032273
2022-01-18,-0.032971
2022-01-30,-0.034187
2022-02-11,-0.035337
2022-02-23,-0.036253
2022-03-07,-0.038106
2022-03-19,-0.037719
2022-03-31,-0.041719
2022-04-12,-0.039807
2022-04-24,-0.040319
2022-05-06,-0.042536
2022-05-18,-0.045515
2022-05-30,-0.043515
2022-06-11,-0.043693
2022-06-23,-0.043227
2022-07-05,-0.043576
2022-07-17,-0.044311
2022-07-29,-0.044322
2022-08-10,-0.043342
2022-08-22,-0.045964
2022-09-03,-0.041601
2022-09-15,-0.043703
2022-09-27,-0.044880
2022-10-09,-0.042164
2022-10-21,-0.049645
2022-11-02,-0.045634
2022-11-14,-0.046832
2022-11-26,-0.049038
2022-12-08,-0.051558
2022-12-20,-0.050758
2023-01-01,-0.053169
2023-01-13,-0.054014
2023-01-25,-0.050847
2023-02-06,-0.054084
2023-02-18,-0.055087
2023-03-02,-0.052266
2023-03-14,-0.054605
2023-03-26,-0.049706
2023-04-07,-0.052087
2023-04-19,-0.053237
2023-05-01,-0.053577
2023-05-13,-0.052987
2023-05-25,-0.056846
2023-06-06,-0.056290
2023-06-18,-0.057540
2023-06-30,-0.057449
2023-07-24,-0.056137
2023-08-05,-0.055568
2023-08-17,-0.055693
2023-08-29,-0.055825
2023-09-10,-0.057466
2023-09-22,-0.059004
2023-10-04,-0.058998
2023-10-16,-0.059976
2023-11-09,-0.059356
2023-11-21,-0.061475
2023-12-03,-0.061084
2023-12-15,-0.060121
2023-12-27,-0.061057
2024-01-08,-0.061422
2024-01-20,-0.062580
2024-02-01,-0.061932
2024-02-13,-0.062932
2024-02-25,-0.063698
2024-03-08,-0.064843
2024-03-20,-0.064458
2024-04-01,-0.064996
2024-04-13,-0.063237
2024-04-25,-0.065516
2024-05-07,-0.066333
2024-05-19,-0.067674
2024-05-31,-0.068927
2024-06-12,-0.068645
2024-06-24,-0.071460
2024-07-06,-0.071018
2024-07-18,-0.073413
