date,displacement_m
2021-01-05,-0.004634
2021-01-11,-0.002424
2021-01-17,-0.002423
2021-01-23,0.000816
2021-01-29,-0.000639
2021-02-04,-0.004963
2021-02-10,-0.003819
2021-02-16,-0.004027
2021-02-22,-0.006594
2021-02-28,-0.001003
2021-03-06,-0.001063
2021-03-12,0.001577
2021-03-18,-0.008851
2021-03-24,-0.002115
2021-03-30,-0.001518
2021-04-05,0.003139
2021-04-11,-0.011785
2021-04-17,-0.003078
2021-04-29,-0.007010
2021-05-05,-0.007897
2021-05-11,-0.000099
2021-05-17,-0.006021
2021-05-23,-0.006953
2021-06-10,-0.000289
2021-06-22,-0.002541
2021-06-28,-0.006521
2021-07-10,-0.002196
2021-07-16,-0.012541
2021-07-22,-0.001923
2021-08-03,-0.001940
2021-08-09,-0.002648
2021-08-15,-0.005522
2021-08-21,0.001411
2021-08-27,-0.002476
2021-09-02,-0.011079
2021-09-08,-0.005607
2021-09-14,-0.010418
2021-09-20,-0.006801
2021-09-26,-0.002909
2021-10-02,-0.004521
2021-10-08,0.006849
2021-10-14,-0.000445
2021-10-20,-0.000464
2021-10-26,-0.002798
2021-11-01,-0.003374
2021-11-07,-0.003564
2021-11-13,-0.007818
2021-11-19,-0.001452
2021-11-25,0.000364
2021-12-01,-0.004441
2021-12-07,-0.001486
2021-12-13,-0.004882
2021-12-19,-0.003671
2021-12-25,-0.007676
2022-01-06,-0.009376
2022-01-18,-0.004653
2022-01-30,-0.005207
2022-02-11,-0.002060
2022-02-23,-0.005208
2022-03-07,-0.007138
2022-03-19,-0.007535
2022-03-31,-0.017555
2022-04-12,0.002290
2022-04-24,-0.007609
2022-05-06,-0.011277
2022-05-18,-0.010699
2022-05-30,-0.013933
2022-06-11,-0.008228
2022-06-23,-0.012348
2022-07-05,-0.014715
2022-07-17,-0.016276
2022-07-29,-0.008555
2022-08-10,-0.010849
2022-08-22,-0.011236
2022-09-03,-0.005931
2022-09-15,-0.014888
2022-09-27,-0.014231
2022-10-09,-0.036385
2022-10-21,-0.016608
2022-11-02,-0.015918
2022-11-14,-0.008062
2022-11-26,-0.013796
2022-12-08,-0.015974
2022-12-20,-0.015559
2023-01-01,-0.014151
2023-01-13,-0.018699
2023-01-25,-0.015738
2023-02-06,-0.017998
2023-02-18,-0.017476
2023-03-02,-0.017632
2023-03-14,-0.012098
2023-03-26,-0.019682
2023-04-07,-0.018209
2023-04-19,-0.020443
2023-05-01,-0.015633
2023-05-13,-0.021393
2023-05-25,-0.018721
2023-06-06,-0.022966
2023-06-18,-0.022575
2023-06-30,-0.018692
2023-07-24,-0.027317
2023-08-05,-0.019396
2023-08-17,-0.020960
2023-08-29,-0.017864
2023-09-10,-0.021162
2023-09-22,-0.023529
2023-10-04,-0.025126
2023-10-16,-0.020033
2023-11-09,-0.036116
2023-11-21,-0.014231
2023-12-03,-0.023829
2023-12-15,-0.031419
2023-12-27,-0.019306
2024-01-08,-0.023632
2024-01-20,-0.019872
2024-02-01,-0.024088
2024-02-13,-0.020134
2024-02-25,-0.020587
2024-03-08,-0.021109
2024-03-20,-0.030820
2024-04-01,-0.028250
2024-04-13,-0.019399
2024-04-25,-0.026073
2024-05-07,-0.024321
2024-05-19,-0.013493
2024-05-31,-0.015692
2024-06-12,-0.029012
2024-06-24,-0.016421
2024-07-06,-0.006116
2024-07-18,-0.018723
