date,displacement_m
2021-01-05,-0.004060
2021-01-11,-0.004225
2021-01-17,-0.003474
2021-01-23,-0.006375
2021-01-29,-0.004352
2021-02-04,-0.005021
2021-02-10,-0.006715
2021-02-16,-0.003938
2021-02-22,-0.004695
2021-02-28,-0.003922
2021-03-06,-0.005355
2021-03-12,-0.004544
2021-03-18,-0.003869
2021-03-24,-0.004434
2021-03-30,-0.004241
2021-04-05,-0.004592
2021-04-11,-0.006111
2021-04-17,-0.004075
2021-04-29,-0.004254
2021-05-05,-0.005067
2021-05-11,-0.005142
2021-05-17,-0.005054
2021-05-23,-0.005144
2021-06-10,-0.004821
2021-06-22,-0.004205
2021-06-28,-0.004629
2021-07-10,-0.005396
2021-07-16,-0.003554
2021-07-22,-0.004926
2021-08-03,-0.005410
2021-08-09,-0.005676
2021-08-15,-0.004813
2021-08-21,-0.006161
2021-08-27,-0.005381
2021-09-02,-0.005328
2021-09-08,-0.005170
2021-09-14,-0.005453
2021-09-20,-0.005464
2021-09-26,-0.005044
2021-10-02,-0.006044
2021-10-08,-0.005235
2021-10-14,-0.005533
2021-10-20,-0.005209
2021-10-26,-0.004472
2021-11-01,-0.005913
2021-11-07,-0.005913
2021-11-13,-0.004846
2021-11-19,-0.005814
2021-11-25,-0.006167
2021-12-01,-0.006333
2021-12-07,-0.005810
2021-12-13,-0.005642
2021-12-19,-0.006006
2021-12-25,-0.007471
2022-01-06,-0.005819
2022-01-18,-0.006829
2022-01-30,-0.007052
2022-02-11,-0.007280
2022-02-23,-0.007217
2022-03-07,-0.007541
2022-03-19,-0.008434
2022-03-31,-0.008619
2022-04-12,-0.008958
2022-04-24,-0.008358
2022-05-06,-0.009731
2022-05-18,-0.008337
2022-05-30,-0.008098
2022-06-11,-0.008285
2022-06-23,-0.008830
2022-07-05,-0.007957
2022-07-17,-0.007915
2022-07-29,-0.009058
2022-08-10,-0.008420
2022-08-22,-0.007776
2022-09-03,-0.007419
2022-09-15,-0.007626
2022-09-27,-0.008582
2022-10-09,-0.014465
2022-10-21,-0.008272
2022-11-02,-0.007979
2022-11-14,-0.009077
2022-11-26,-0.008885
2022-12-08,-0.009730
2022-12-20,-0.009600
2023-01-01,-0.008383
2023-01-13,-0.009522
2023-01-25,-0.009176
2023-02-06,-0.009016
2023-02-18,-0.009512
2023-03-02,-0.008814
2023-03-14,-0.009278
2023-03-26,-0.008760
2023-04-07,-0.009938
2023-04-19,-0.008842
2023-05-01,-0.008454
2023-05-13,-0.009372
2023-05-25,-0.008225
2023-06-06,-0.009752
2023-06-18,-0.008894
2023-06-30,-0.008132
2023-07-24,-0.007554
2023-08-05,-0.008553
2023-08-17,-0.007339
2023-08-29,-0.008363
2023-09-10,-0.008559
2023-09-22,-0.008141
2023-10-04,-0.008060
2023-10-16,-0.009278
2023-11-09,-0.007033
2023-11-21,-0.010233
2023-12-03,-0.008938
2023-12-15,-0.007902
2023-12-27,-0.008631
2024-01-08,-0.008533
2024-01-20,-0.009258
2024-02-01,-0.008676
2024-02-13,-0.009022
2024-02-25,-0.009139
2024-03-08,-0.009579
2024-03-20,-0.008730
2024-04-01,-0.008842
2024-04-13,-0.007847
2024-04-25,-0.008428
2024-05-07,-0.008562
2024-05-19,-0.009210
2024-05-31,-0.007872
2024-06-12,-0.007890
2024-06-24,-0.007626
2024-07-06,-0.010287
2024-07-18,-0.007408
