date,displacement_m
2021-01-05,-0.031980
2021-01-11,-0.030813
2021-01-17,-0.029919
2021-01-23,-0.030495
2021-01-29,-0.030236
2021-02-04,-0.033443
2021-02-10,-0.035169
2021-02-16,-0.034404
2021-02-22,-0.038136
2021-02-28,-0.031488
2021-03-06,-0.032770
2021-03-12,-0.032392
2021-03-18,-0.039295
2021-03-24,-0.034166
2021-03-30,-0.035005
2021-04-05,-0.031571
2021-04-11,-0.040997
2021-04-17,-0.035518
2021-04-29,-0.040082
2021-05-05,-0.041743
2021-05-11,-0.036212
2021-05-17,-0.041655
2021-05-23,-0.043871
2021-06-10,-0.035747
2021-06-22,-0.035533
2021-06-28,-0.042079
2021-07-10,-0.039403
2021-07-16,-0.046901
2021-07-22,-0.038107
2021-08-03,-0.040170
2021-08-09,-0.040517
2021-08-15,-0.039523
2021-08-21,-0.037290
2021-08-27,-0.039535
2021-09-02,-0.048706
2021-09-08,-0.041911
2021-09-14,-0.048866
2021-09-20,-0.044227
2021-09-26,-0.039939
2021-10-02,-0.043482
2021-10-08,-0.030506
2021-10-14,-0.039011
2021-10-20,-0.038574
2021-10-26,-0.039271
2021-11-01,-0.043165
2021-11-07,-0.042083
2021-11-13,-0.043004
2021-11-19,-0.040869
2021-11-25,-0.037811
2021-12-01,-0.044865
2021-12-07,-0.040333
2021-12-13,-0.042738
2021-12-19,-0.041805
2021-12-25,-0.048715
2022-01-06,-0.046483
2022-01-18,-0.045969
2022-01-30,-0.045272
2022-02-11,-0.042905
2022-02-23,-0.041989
2022-03-07,-0.043703
2022-03-19,-0.047502
2022-03-31,-0.058013
2022-04-12,-0.038791
2022-04-24,-0.048777
2022-05-06,-0.055129
2022-05-18,-0.053873
2022-05-30,-0.056012
2022-06-11,-0.047670
2022-06-23,-0.056470
2022-07-05,-0.055265
2022-07-17,-0.055995
2022-07-29,-0.052231
2022-08-10,-0.054768
2022-08-22,-0.048584
2022-09-03,-0.041258
2022-09-15,-0.054008
2022-09-27,-0.054431
2022-10-09,-0.093494
2022-10-21,-0.058784
2022-11-02,-0.059048
2022-11-14,-0.051929
2022-11-26,-0.052380
2022-12-08,-0.053492
2022-12-20,-0.058054
2023-01-01,-0.052668
2023-01-13,-0.060717
2023-01-25,-0.054772
2023-02-06,-0.058870
2023-02-18,-0.061032
2023-03-02,-0.058677
2023-03-14,-0.056808
2023-03-26,-0.058678
2023-04-07,-0.060724
2023-04-19,-0.065306
2023-05-01,-0.055879
2023-05-13,-0.063132
2023-05-25,-0.058393
2023-06-06,-0.066745
2023-06-18,-0.065214
2023-06-30,-0.063580
2023-07-24,-0.068207
2023-08-05,-0.060364
2023-08-17,-0.063511
2023-08-29,-0.061735
2023-09-10,-0.064422
2023-09-22,-0.065770
2023-10-04,-0.068433
2023-10-16,-0.066285
2023-11-09,-0.076042
2023-11-21,-0.063893
2023-12-03,-0.068672
2023-12-15,-0.075190
2023-12-27,-0.065825
2024-01-08,-0.070057
2024-01-20,-0.066667
2024-02-01,-0.070704
2024-02-13,-0.068170
2024-02-25,-0.068329
2024-03-08,-0.068530
2024-03-20,-0.078569
2024-04-01,-0.075088
2024-04-13,-0.072163
2024-04-25,-0.075680
2024-05-07,-0.074955
2024-05-19,-0.067908
2024-05-31,-0.066648
2024-06-12,-0.080584
2024-06-24,-0.065992
2024-07-06,-0.063749
2024-07-18,-0.068625
