date,displacement_m
2021-01-05,-0.007044
2021-01-11,-0.005429
2021-01-17,-0.005636
2021-01-23,-0.003631
2021-01-29,-0.004883
2021-02-04,-0.008361
2021-02-10,-0.008381
2021-02-16,-0.008295
2021-02-22,-0.012372
2021-02-28,-0.004497
2021-03-06,-0.004526
2021-03-12,-0.003889
2021-03-18,-0.011657
2021-03-24,-0.005366
2021-03-30,-0.006286
2021-04-05,-0.002065
2021-04-11,-0.014577
2021-04-17,-0.007371
2021-04-29,-0.010599
2021-05-05,-0.010993
2021-05-11,-0.004804
2021-05-17,-0.010795
2021-05-23,-0.012322
2021-06-10,-0.004440
2021-06-22,-0.005234
2021-06-28,-0.010754
2021-07-10,-0.007159
2021-07-16,-0.016268
2021-07-22,-0.006655
2021-08-03,-0.007183
2021-08-09,-0.007160
2021-08-15,-0.008529
2021-08-21,-0.004370
2021-08-27,-0.008410
2021-09-02,-0.016571
2021-09-08,-0.009715
2021-09-14,-0.016357
2021-09-20,-0.011516
2021-09-26,-0.008129
2021-10-02,-0.010605
2021-10-08,0.003608
2021-10-14,-0.004847
2021-10-20,-0.004896
2021-10-26,-0.006070
2021-11-01,-0.008796
2021-11-07,-0.009176
2021-11-13,-0.012953
2021-11-19,-0.006880
2021-11-25,-0.005073
2021-12-01,-0.009921
2021-12-07,-0.007551
2021-12-13,-0.009473
2021-12-19,-0.008193
2021-12-25,-0.013644
2022-01-06,-0.014137
2022-01-18,-0.011107
2022-01-30,-0.011091
2022-02-11,-0.008016
2022-02-23,-0.010731
2022-03-07,-0.011578
2022-03-19,-0.012778
2022-03-31,-0.022039
2022-04-12,-0.001526
2022-04-24,-0.013405
2022-05-06,-0.018568
2022-05-18,-0.016498
2022-05-30,-0.018160
2022-06-11,-0.012439
2022-06-23,-0.020329
2022-07-05,-0.018526
2022-07-17,-0.020264
2022-07-29,-0.011693
2022-08-10,-0.014775
2022-08-22,-0.011263
2022-09-03,-0.008941
2022-09-15,-0.020293
2022-09-27,-0.017351
2022-10-09,-0.048859
2022-10-21,-0.019835
2022-11-02,-0.018235
2022-11-14,-0.011064
2022-11-26,-0.015402
2022-12-08,-0.015908
2022-12-20,-0.018096
2023-01-01,-0.014355
2023-01-13,-0.020358
2023-01-25,-0.017174
2023-02-06,-0.019330
2023-02-18,-0.020011
2023-03-02,-0.018922
2023-03-14,-0.014065
2023-03-26,-0.019726
2023-04-07,-0.020320
2023-04-19,-0.022096
2023-05-01,-0.015160
2023-05-13,-0.021671
2023-05-25,-0.017196
2023-06-06,-0.024840
2023-06-18,-0.023644
2023-06-30,-0.019730
2023-07-24,-0.026198
2023-08-05,-0.018976
2023-08-17,-0.020862
2023-08-29,-0.018694
2023-09-10,-0.022048
2023-09-22,-0.022814
2023-10-04,-0.024550
2023-10-16,-0.022268
2023-11-09,-0.034333
2023-11-21,-0.017140
2023-12-03,-0.023768
2023-12-15,-0.031783
2023-12-27,-0.020626
2024-01-08,-0.023739
2024-01-20,-0.020002
2024-02-01,-0.024790
2024-02-13,-0.021254
2024-02-25,-0.020848
2024-03-08,-0.021601
2024-03-20,-0.031253
2024-04-01,-0.028371
2024-04-13,-0.022137
2024-04-25,-0.026589
2024-05-07,-0.025849
2024-05-19,-0.016588
2024-05-31,-0.017172
2024-06-12,-0.031001
2024-06-24,-0.016485
2024-07-06,-0.011057
2024-07-18,-0.018442
