date,displacement_m
2021-01-05,-0.000688
2021-01-11,-0.000361
2021-01-17,-0.000175
2021-01-23,-0.000944
2021-01-29,-0.000385
2021-02-04,-0.000862
2021-02-10,-0.001383
2021-02-16,-0.000076
2021-02-22,0.000228
2021-02-28,-0.000442
2021-03-06,-0.000507
2021-03-12,0.000536
2021-03-18,0.000018
2021-03-24,-0.000011
2021-03-30,-0.000196
2021-04-05,0.000797
2021-04-11,0.001025
2021-04-17,0.000532
2021-04-29,0.000413
2021-05-05,0.000665
2021-05-11,0.001237
2021-05-17,0.000181
2021-05-23,0.001127
2021-06-10,0.000688
2021-06-22,0.000042
2021-06-28,0.001129
2021-07-10,0.001317
2021-07-16,0.001318
2021-07-22,0.001151
2021-08-03,0.001148
2021-08-09,0.000389
2021-08-15,0.000908
2021-08-21,0.001281
2021-08-27,0.001272
2021-09-02,0.001744
2021-09-08,0.000894
2021-09-14,0.001331
2021-09-20,0.000950
2021-09-26,0.001168
2021-10-02,0.001061
2021-10-08,0.000294
2021-10-14,0.001198
2021-10-20,0.000540
2021-10-26,0.000894
2021-11-01,0.000585
2021-11-07,0.000706
2021-11-13,0.000268
2021-11-19,0.000706
2021-11-25,0.000813
2021-12-01,0.000874
2021-12-07,0.000613
2021-12-13,0.000358
2021-12-19,0.001252
2021-12-25,-0.000206
2022-01-06,-0.000033
2022-01-18,-0.000206
2022-01-30,-0.000215
2022-02-11,-0.000362
2022-02-23,-0.000960
2022-03-07,-0.001312
2022-03-19,-0.001203
2022-03-31,-0.002653
2022-04-12,-0.003803
2022-04-24,-0.002239
2022-05-06,-0.001479
2022-05-18,-0.002104
2022-05-30,-0.001905
2022-06-11,-0.002831
2022-06-23,-0.001714
2022-07-05,-0.002701
2022-07-17,-0.002165
2022-07-29,-0.001235
2022-08-10,0.000331
2022-08-22,-0.003206
2022-09-03,-0.003248
2022-09-15,-0.002596
2022-09-27,-0.002187
2022-10-09,0.002402
2022-10-21,-0.002275
2022-11-02,-0.002420
2022-11-14,-0.003304
2022-11-26,-0.003969
2022-12-08,-0.005512
2022-12-20,-0.003596
2023-01-01,-0.004461
2023-01-13,-0.004408
2023-01-25,-0.005434
2023-02-06,-0.004270
2023-02-18,-0.004457
2023-03-02,-0.005223
2023-03-14,-0.004573
2023-03-26,-0.005815
2023-04-07,-0.004744
2023-04-19,-0.002723
2023-05-01,-0.004408
2023-05-13,-0.005267
2023-05-25,-0.005030
2023-06-06,-0.003706
2023-06-18,-0.004486
2023-06-30,-0.003606
2023-07-24,-0.004772
2023-08-05,-0.005337
2023-08-17,-0.003508
2023-08-29,-0.003592
2023-09-10,-0.004417
2023-09-22,-0.005526
2023-10-04,-0.004071
2023-10-16,-0.004191
2023-11-09,-0.003101
2023-11-21,-0.005975
2023-12-03,-0.005211
2023-12-15,-0.003908
2023-12-27,-0.002246
2024-01-08,-0.003094
2024-01-20,-0.004652
2024-02-01,-0.004190
2024-02-13,-0.003933
2024-02-25,-0.004725
2024-03-08,-0.004639
2024-03-20,-0.004850
2024-04-01,-0.005581
2024-04-13,-0.000510
2024-04-25,-0.003614
2024-05-07,-0.004261
2024-05-19,-0.003300
2024-05-31,-0.004641
2024-06-12,-0.004285
2024-06-24,-0.005904
2024-07-06,-0.005727
2024-07-18,-0.006427
