date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-11-28,0.005417,0.007380,0.007155,0.005396,0.006275,0.005594,0.008886,0.020078,0.022027,0.018567,0.041067,0.048050,0.000000,0.028422,0.017770,0.023103,0.034652,0.044047,0.048062,0.051370,0.034795,0.028031,0.032932,0.029254,0.006025,0.007864,0.010372,0.022290,0.025745,0.030507,0.004263,0.005396
2015-12-22,0.005948,0.007338,0.007496,0.005848,0.007315,0.006668,0.010517,0.020771,0.021786,0.019733,0.041847,0.048483,0.000000,0.029887,0.018063,0.023688,0.035509,0.044652,0.048574,0.051738,0.036269,0.029226,0.033944,0.029899,0.006523,0.008567,0.010702,0.023014,0.026349,0.031159,0.005307,0.005848
2016-01-15,-0.008608,-0.006462,-0.006321,-0.008213,-0.005798,-0.006720,-0.003570,0.007266,0.009952,0.006785,0.028525,0.035144,0.000000,0.016378,0.005939,0.011529,0.022507,0.030901,0.035121,0.038249,0.022773,0.016364,0.020585,0.016424,-0.007064,-0.003985,-0.002281,0.009587,0.012884,0.018797,-0.008401,-0.008213
2016-01-27,0.008356,0.009804,0.010072,0.008346,0.010658,0.009858,0.013749,0.023518,0.024246,0.023089,0.044664,0.051018,0.000000,0.033225,0.020709,0.026255,0.038659,0.046857,0.051259,0.054201,0.039051,0.032898,0.036955,0.032794,0.009256,0.012048,0.013615,0.025872,0.029342,0.034363,0.008257,0.008346
2016-02-08,0.002547,0.003467,0.003773,0.002314,0.003516,0.002723,0.006158,0.016255,0.017370,0.014841,0.037010,0.043025,0.000000,0.024696,0.013994,0.019253,0.030631,0.039141,0.043132,0.046318,0.031084,0.024624,0.028897,0.025233,0.002239,0.004147,0.006685,0.017783,0.020743,0.025515,0.001669,0.002314
2016-02-20,0.006928,0.008237,0.008201,0.006535,0.007819,0.006926,0.010347,0.020607,0.022454,0.019706,0.041559,0.047615,0.000000,0.029311,0.018840,0.023824,0.035193,0.043459,0.047893,0.050918,0.035160,0.028806,0.033591,0.029693,0.007112,0.008679,0.011303,0.022444,0.025164,0.030514,0.005699,0.006535
2016-03-03,0.009548,0.011199,0.011352,0.009664,0.011603,0.010978,0.014749,0.024067,0.024993,0.023419,0.045361,0.051305,0.000000,0.034236,0.021757,0.027042,0.038751,0.046942,0.051619,0.054529,0.039110,0.033385,0.038031,0.034049,0.010710,0.013005,0.014848,0.026738,0.029846,0.035124,0.009344,0.009664
2016-03-27,0.000366,0.001734,0.002665,0.001287,0.002435,0.001721,0.005154,0.015033,0.015990,0.014133,0.035990,0.041712,0.000000,0.023938,0.012720,0.018069,0.029180,0.037288,0.041619,0.044814,0.028489,0.023473,0.027545,0.024165,0.000980,0.003584,0.005031,0.016568,0.019458,0.024483,0.000550,0.001287
2016-04-08,-0.000151,0.001432,0.002178,0.000710,0.000991,0.000363,0.003855,0.014761,0.016969,0.013918,0.035373,0.040391,0.000000,0.022803,0.013813,0.018300,0.028920,0.036792,0.040807,0.044294,0.027233,0.022185,0.026668,0.023806,0.000883,0.002927,0.004309,0.016569,0.018616,0.023359,-0.000664,0.000710
2016-04-20,0.004271,0.006502,0.007307,0.005363,0.006235,0.005052,0.008522,0.019322,0.019182,0.017453,0.039597,0.044722,0.000000,0.027311,0.015718,0.021339,0.032555,0.040647,0.044937,0.048119,0.031337,0.026191,0.031015,0.027303,0.004961,0.007300,0.008511,0.020131,0.021772,0.027493,0.004166,0.005363
