date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-11-28,0.000000,0.001964,0.001738,-0.000020,0.000858,0.000177,0.003470,0.014661,0.016610,0.013150,0.035651,0.042634,-0.005417,0.023005,0.012354,0.017686,0.029236,0.038631,0.042645,0.045953,0.029378,0.022615,0.027516,0.023837,0.000609,0.002448,0.004956,0.016874,0.020328,0.025090,-0.001154,-0.000020
2015-12-22,0.000000,0.001390,0.001547,-0.000101,0.001367,0.000720,0.004569,0.014823,0.015838,0.013785,0.035899,0.042535,-0.005948,0.023939,0.012115,0.017740,0.029561,0.038704,0.042626,0.045790,0.030321,0.023278,0.027996,0.023951,0.000575,0.002619,0.004754,0.017066,0.020401,0.025211,-0.000641,-0.000101
2016-01-15,0.000000,0.002145,0.002287,0.000395,0.002810,0.001888,0.005038,0.015873,0.018560,0.015393,0.037133,0.043752,0.008608,0.024985,0.014547,0.020137,0.031115,0.039509,0.043729,0.046857,0.031381,0.024971,0.029192,0.025032,0.001544,0.004623,0.006326,0.018195,0.021492,0.027404,0.000207,0.000395
2016-01-27,0.000000,0.001448,0.001715,-0.000010,0.002302,0.001501,0.005393,0.015162,0.015890,0.014733,0.036307,0.042661,-0.008356,0.024869,0.012353,0.017898,0.030303,0.038501,0.042902,0.045845,0.030694,0.024542,0.028599,0.024437,0.000900,0.003692,0.005259,0.017516,0.020985,0.026007,-0.000100,-0.000010
2016-02-08,0.000000,0.000920,0.001225,-0.000233,0.000968,0.000176,0.003611,0.013708,0.014822,0.012294,0.034462,0.040478,-0.002547,0.022149,0.011447,0.016706,0.028084,0.036593,0.040584,0.043770,0.028536,0.022076,0.026350,0.022686,-0.000308,0.001600,0.004138,0.015236,0.018196,0.022968,-0.000878,-0.000233
2016-02-20,0.000000,0.001309,0.001273,-0.000393,0.000891,-0.000002,0.003419,0.013679,0.015526,0.012778,0.034631,0.040687,-0.006928,0.022384,0.011912,0.016896,0.028265,0.036531,0.040966,0.043990,0.028232,0.021878,0.026663,0.022765,0.000184,0.001751,0.004375,0.015516,0.018236,0.023586,-0.001229,-0.000393
2016-03-03,0.000000,0.001652,0.001805,0.000116,0.002055,0.001431,0.005201,0.014519,0.015446,0.013871,0.035813,0.041758,-0.009548,0.024688,0.012209,0.017494,0.029204,0.037394,0.042071,0.044981,0.029563,0.023837,0.028484,0.024502,0.001162,0.003457,0.005301,0.017191,0.020299,0.025576,-0.000204,0.000116
2016-03-27,0.000000,0.001368,0.002299,0.000921,0.002068,0.001355,0.004788,0.014666,0.015623,0.013766,0.035623,0.041345,-0.000366,0.023572,0.012353,0.017702,0.028814,0.036921,0.041252,0.044448,0.028123,0.023106,0.027178,0.023799,0.000613,0.003217,0.004664,0.016201,0.019092,0.024116,0.000183,0.000921
2016-04-08,0.000000,0.001583,0.002329,0.000861,0.001142,0.000514,0.004006,0.014912,0.017120,0.014069,0.035524,0.040542,0.000151,0.022954,0.013964,0.018451,0.029070,0.036943,0.040958,0.044445,0.027384,0.022336,0.026819,0.023957,0.001034,0.003078,0.004460,0.016719,0.018767,0.023509,-0.000513,0.000861
2016-04-20,0.000000,0.002231,0.003036,0.001092,0.001964,0.000781,0.004251,0.015051,0.014910,0.013182,0.035326,0.040451,-0.004271,0.023040,0.011447,0.017068,0.028284,0.036376,0.040666,0.043847,0.027066,0.021920,0.026744,0.023032,0.000690,0.003029,0.004239,0.015860,0.017500,0.023221,-0.000106,0.001092
