date,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32
2015-11-27,0.007204,0.012281,0.011350,0.015723,0.012582,0.015326,0.024091,0.013148,0.019934,0.013148,0.023101,0.025798,0.000000,0.036408,0.019934,0.023473,0.024888,0.025653,0.000000,0.000000,0.041529,0.039096,0.036408,0.000000,0.014204,0.008543,0.012353,0.026711,0.018968,0.040055,0.008646,0.011964
2015-12-09,0.005766,0.009833,0.009230,0.013871,0.010477,0.012973,0.022006,0.011128,0.018172,0.011128,0.021192,0.023735,0.000000,0.034064,0.018172,0.021191,0.022751,0.023597,0.000000,0.000000,0.039311,0.036698,0.034064,0.000000,0.012053,0.006320,0.009726,0.024330,0.016092,0.036784,0.006465,0.010032
2015-12-21,0.006672,0.011474,0.010864,0.015173,0.011958,0.014392,0.022621,0.012583,0.019493,0.012583,0.022305,0.024881,0.000000,0.035117,0.019493,0.022690,0.023983,0.024596,0.000000,0.000000,0.040715,0.037528,0.035117,0.000000,0.012985,0.007557,0.010897,0.025387,0.017477,0.038016,0.007840,0.011321
2016-01-02,0.008299,0.013391,0.012409,0.017189,0.014226,0.016595,0.025647,0.014343,0.021218,0.014343,0.024684,0.027500,0.000000,0.038343,0.021218,0.025078,0.026445,0.026812,0.000000,0.000000,0.043528,0.040640,0.038343,0.000000,0.015086,0.010126,0.014384,0.028819,0.021142,0.042380,0.009552,0.012950
2016-01-14,0.006595,0.012095,0.010610,0.015352,0.012437,0.014881,0.023491,0.012510,0.019344,0.012510,0.022757,0.025458,0.000000,0.036096,0.019344,0.023034,0.024288,0.024751,0.000000,0.000000,0.041439,0.038562,0.036096,0.000000,0.013706,0.008623,0.012284,0.026487,0.018671,0.039448,0.008322,0.011580
2016-01-26,0.007435,0.012125,0.010920,0.015262,0.012323,0.014724,0.022892,0.012389,0.019451,0.012389,0.022255,0.025139,0.000000,0.035542,0.019451,0.022603,0.023892,0.024761,0.000000,0.000000,0.041002,0.038024,0.035542,0.000000,0.013967,0.008908,0.011932,0.025865,0.018065,0.038423,0.008696,0.011844
2016-02-07,0.006658,0.011501,0.010547,0.015125,0.011793,0.014078,0.022461,0.012180,0.019351,0.012180,0.022329,0.024969,0.000000,0.035313,0.019351,0.022679,0.024014,0.024784,0.000000,0.000000,0.040611,0.037781,0.035313,0.000000,0.013246,0.008134,0.011387,0.025659,0.017716,0.037831,0.008046,0.011472
2016-02-19,0.009665,0.014739,0.014435,0.018873,0.015248,0.017330,0.026054,0.016110,0.022478,0.016110,0.026327,0.028645,0.000000,0.039176,0.022478,0.026803,0.027965,0.028557,0.000000,0.000000,0.044454,0.041353,0.039176,0.000000,0.016452,0.011893,0.015913,0.029437,0.021793,0.042559,0.010864,0.014769
2016-03-02,0.013362,0.018326,0.016880,0.022459,0.019680,0.022512,0.031146,0.018557,0.024304,0.018557,0.029640,0.033025,0.000000,0.043348,0.024304,0.028458,0.030238,0.030959,0.000000,0.000000,0.048646,0.045391,0.043348,0.000000,0.020390,0.015160,0.019707,0.034103,0.025872,0.046202,0.014984,0.018091
2016-03-14,0.005633,0.011045,0.011306,0.015983,0.012147,0.014794,0.023390,0.013648,0.019027,0.013648,0.023907,0.026034,0.000000,0.036464,0.019027,0.023309,0.025196,0.025655,0.000000,0.000000,0.041684,0.038288,0.036464,0.000000,0.013052,0.007667,0.012758,0.026625,0.018929,0.039548,0.007528,0.011344
2016-03-26,0.004018,0.009173,0.009739,0.014476,0.010877,0.013523,0.021873,0.011917,0.016940,0.011917,0.022487,0.024471,0.000000,0.033979,0.016940,0.021137,0.022961,0.023376,0.000000,0.000000,0.039725,0.036267,0.033979,0.000000,0.011471,0.005907,0.009754,0.024458,0.015950,0.036244,0.006074,0.009908
2016-04-07,0.012946,0.017244,0.018378,0.023062,0.019300,0.022198,0.030126,0.020719,0.026151,0.020719,0.031029,0.032905,0.000000,0.042984,0.026151,0.030015,0.032145,0.032497,0.000000,0.000000,0.048595,0.045143,0.042984,0.000000,0.019385,0.014109,0.017592,0.032710,0.024165,0.043658,0.014637,0.018666
2016-04-19,0.020862,0.023239,0.023614,0.028777,0.025307,0.028230,0.035783,0.025253,0.030286,0.025253,0.035476,0.038741,0.000000,0.047955,0.030286,0.033488,0.035969,0.036993,0.000000,0.000000,0.054417,0.050408,0.047955,0.000000,0.025559,0.020570,0.022600,0.038562,0.029404,0.048034,0.021315,0.024724
2016-05-01,0.004496,0.009953,0.008807,0.014546,0.011324,0.014432,0.022534,0.010677,0.016348,0.010677,0.021555,0.024957,0.000000,0.035538,0.016348,0.020198,0.022351,0.023312,0.000000,0.000000,0.040812,0.037459,0.035538,0.000000,0.012481,0.007295,0.011057,0.026279,0.017509,0.037447,0.006295,0.010289
2016-05-13,0.017687,0.021155,0.021931,0.027848,0.023970,0.026558,0.034702,0.023758,0.030162,0.023758,0.034274,0.037712,0.000000,0.047767,0.030162,0.032710,0.034915,0.035992,0.000000,0.000000,0.052862,0.048881,0.047767,0.000000,0.023085,0.017234,0.020427,0.036853,0.027314,0.046500,0.018830,0.023006
2016-05-25,0.000537,0.007023,0.005150,0.010440,0.006695,0.009853,0.018139,0.007537,0.013443,0.007537,0.017503,0.020408,0.000000,0.031016,0.013443,0.017121,0.018987,0.019918,0.000000,0.000000,0.035916,0.032448,0.031016,0.000000,0.008289,0.003760,0.007464,0.021704,0.013097,0.033178,0.002372,0.006304
2016-06-06,0.006233,0.010597,0.011804,0.017086,0.012780,0.015717,0.023193,0.014114,0.020059,0.014114,0.023862,0.026646,0.000000,0.035686,0.020059,0.023929,0.025507,0.026198,0.000000,0.000000,0.041721,0.037546,0.035686,0.000000,0.012482,0.007048,0.009698,0.025069,0.015665,0.035151,0.008310,0.012646
2016-06-30,0.005251,0.010813,0.010747,0.016398,0.013103,0.015797,0.024202,0.013230,0.017935,0.013230,0.023495,0.026593,0.000000,0.036618,0.017935,0.022360,0.024236,0.024995,0.000000,0.000000,0.042091,0.038450,0.036618,0.000000,0.013256,0.007579,0.011983,0.027058,0.017996,0.037838,0.008070,0.011708
2016-07-12,0.005496,0.010955,0.010488,0.016185,0.012967,0.016025,0.024009,0.013208,0.018440,0.013208,0.022884,0.026703,0.000000,0.036714,0.018440,0.022979,0.024591,0.025416,0.000000,0.000000,0.042017,0.038653,0.036714,0.000000,0.013298,0.007445,0.012698,0.027264,0.018281,0.038298,0.008107,0.011791
2016-07-24,-0.004816,0.000215,-0.000065,0.005148,0.001718,0.004340,0.013026,0.002858,0.008621,0.002858,0.012117,0.015252,0.000000,0.025177,0.008621,0.012660,0.014096,0.014550,0.000000,0.000000,0.030715,0.027079,0.025177,0.000000,0.002565,-0.003180,0.000965,0.015574,0.006789,0.025680,-0.002757,0.000889
2016-08-05,0.006870,0.011186,0.012143,0.017397,0.014244,0.016743,0.024561,0.015140,0.020165,0.015140,0.024251,0.027527,0.000000,0.036637,0.020165,0.024269,0.025876,0.026451,0.000000,0.000000,0.042735,0.038883,0.036637,0.000000,0.013588,0.008178,0.011895,0.026716,0.017742,0.036456,0.009128,0.013156
2016-08-17,0.005021,0.009181,0.010889,0.016168,0.012529,0.015522,0.022492,0.013738,0.018475,0.013738,0.022967,0.026005,0.000000,0.034208,0.018475,0.022531,0.024032,0.024615,0.000000,0.000000,0.040724,0.036771,0.034208,0.000000,0.011579,0.006331,0.010117,0.024248,0.015849,0.034348,0.007951,0.011770
2016-08-29,0.004293,0.010033,0.008258,0.013779,0.010642,0.013548,0.021525,0.010951,0.016241,0.010951,0.020203,0.023662,0.000000,0.034008,0.016241,0.020093,0.022066,0.022854,0.000000,0.000000,0.038959,0.035880,0.034008,0.000000,0.012206,0.007261,0.011647,0.025785,0.017178,0.036255,0.006329,0.009827
2016-09-10,-0.001152,0.004959,0.003981,0.010092,0.006635,0.009407,0.017497,0.006713,0.011463,0.006713,0.016844,0.020642,0.000000,0.029811,0.011463,0.016086,0.018039,0.018433,0.000000,0.000000,0.035125,0.031581,0.029811,0.000000,0.007177,0.002607,0.007110,0.021554,0.013053,0.032746,0.001745,0.005644
2016-09-22,-0.000264,0.004781,0.005372,0.011365,0.007718,0.010711,0.018228,0.008130,0.012577,0.008130,0.018206,0.021506,0.000000,0.029963,0.012577,0.017002,0.018797,0.019297,0.000000,0.000000,0.036016,0.032075,0.029963,0.000000,0.007250,0.002313,0.006402,0.021155,0.012580,0.031707,0.002450,0.006417
2016-10-04,0.003017,0.007778,0.007973,0.013579,0.010140,0.012676,0.020374,0.010736,0.015607,0.010736,0.020090,0.023374,0.000000,0.032279,0.015607,0.019485,0.021268,0.022048,0.000000,0.000000,0.037947,0.034566,0.032279,0.000000,0.010076,0.004836,0.008919,0.023530,0.014662,0.033415,0.005524,0.009311
2016-10-10,0.000396,0.005138,0.005964,0.011927,0.008370,0.010982,0.019056,0.008820,0.014081,0.008820,0.018746,0.022031,0.000000,0.030958,0.014081,0.018382,0.019872,0.020328,0.000000,0.000000,0.036382,0.032825,0.030958,0.000000,0.007915,0.002519,0.006811,0.021939,0.013167,0.032052,0.003179,0.007234
