date,displacement_m
2021-01-06,-0.017577
2021-01-12,-0.018895
2021-01-18,-0.018503
2021-01-24,-0.019851
2021-01-30,-0.018603
2021-02-05,-0.017827
2021-02-11,-0.020429
2021-02-17,-0.018704
2021-02-23,-0.019934
2021-03-01,-0.021070
2021-03-07,-0.020484
2021-03-13,-0.021338
2021-03-19,-0.021523
2021-03-25,-0.022117
2021-03-31,-0.022257
2021-04-06,-0.021828
2021-04-12,-0.021951
2021-04-18,-0.023320
2021-04-24,-0.022788
2021-04-30,-0.022259
2021-05-06,-0.023277
2021-05-12,-0.023839
2021-05-18,-0.023999
2021-05-24,-0.025240
2021-05-30,-0.024906
2021-06-05,-0.024765
2021-06-11,-0.025464
2021-06-17,-0.026176
2021-06-23,-0.026103
2021-06-29,-0.026378
2021-07-05,-0.026948
2021-07-11,-0.025697
2021-07-17,-0.026603
2021-07-23,-0.026430
2021-07-29,-0.026978
2021-08-04,-0.027204
2021-08-10,-0.027654
2021-08-16,-0.027108
2021-08-22,-0.027541
2021-08-28,-0.026138
2021-09-03,-0.027228
2021-09-09,-0.027760
2021-09-15,-0.027029
2021-09-21,-0.027625
2021-09-27,-0.027107
2021-10-03,-0.027549
2021-10-09,-0.027801
2021-10-15,-0.027536
2021-10-21,-0.027978
2021-10-27,-0.027930
2021-11-02,-0.028363
2021-11-08,-0.028164
2021-11-14,-0.028432
2021-11-20,-0.030025
2021-11-26,-0.028481
2021-12-02,-0.029427
2021-12-08,-0.029517
2021-12-14,-0.029606
2021-12-20,-0.029731
2021-12-26,-0.029466
2022-01-07,-0.029424
2022-01-19,-0.030349
2022-01-31,-0.031729
2022-02-12,-0.033240
2022-02-24,-0.038089
2022-03-08,-0.039100
2022-03-20,-0.042849
2022-04-01,-0.039181
2022-04-13,-0.039638
2022-05-07,-0.038510
2022-05-19,-0.040101
2022-05-31,-0.041959
2022-06-12,-0.043503
2022-06-24,-0.042475
2022-07-06,-0.042243
2022-07-18,-0.042535
2022-07-30,-0.041892
2022-08-11,-0.042188
2022-08-23,-0.042615
2022-09-04,-0.042511
2022-09-16,-0.042871
2022-09-28,-0.043483
2022-10-10,-0.044397
2022-10-22,-0.045369
2022-11-03,-0.045962
2022-11-15,-0.047005
2022-11-27,-0.046055
2022-12-09,-0.047343
2022-12-21,-0.049810
2023-01-02,-0.048874
2023-01-14,-0.050479
2023-01-26,-0.050740
2023-02-07,-0.052070
2023-02-19,-0.052270
2023-03-03,-0.050877
2023-03-15,-0.051625
2023-03-27,-0.052558
2023-04-08,-0.052139
2023-04-20,-0.052231
2023-05-02,-0.052329
2023-05-14,-0.052911
2023-05-26,-0.053541
2023-06-07,-0.053193
2023-06-19,-0.053945
2023-07-01,-0.053124
2023-07-13,-0.053004
2023-07-25,-0.054054
2023-08-06,-0.054844
2023-08-18,-0.054819
2023-08-30,-0.054086
2023-09-11,-0.054620
2023-09-23,-0.054337
2023-10-05,-0.054848
2023-10-17,-0.054840
2023-11-10,-0.055014
2023-11-22,-0.055985
2023-12-04,-0.055629
2023-12-16,-0.054849
2023-12-28,-0.056544
2024-01-09,-0.056831
2024-01-21,-0.058438
2024-02-02,-0.057992
2024-02-26,-0.057990
2024-03-09,-0.062110
2024-03-21,-0.060548
2024-04-02,-0.060105
2024-04-14,-0.064749
2024-04-26,-0.060261
2024-05-08,-0.058650
2024-05-20,-0.059686
2024-06-01,-0.060796
2024-06-13,-0.062102
2024-06-25,-0.063400
2024-07-07,-0.062482
2024-07-19,-0.063604
