date,displacement_m
2021-01-06,0.000444
2021-01-12,0.000100
2021-01-18,0.000516
2021-01-24,0.000502
2021-01-30,0.001182
2021-02-05,0.002018
2021-02-11,0.000704
2021-02-17,0.001218
2021-02-23,0.000967
2021-03-01,0.000028
2021-03-07,0.001444
2021-03-13,0.000963
2021-03-19,0.001247
2021-03-25,0.001365
2021-03-31,0.001197
2021-04-06,0.001576
2021-04-12,0.002360
2021-04-18,0.001475
2021-04-24,0.001195
2021-04-30,0.002310
2021-05-06,0.001486
2021-05-12,0.001449
2021-05-18,0.001776
2021-05-24,0.001446
2021-05-30,0.002285
2021-06-05,0.001946
2021-06-11,0.002241
2021-06-17,0.002388
2021-06-23,0.002677
2021-06-29,0.002274
2021-07-05,0.001736
2021-07-11,0.002875
2021-07-17,0.001891
2021-07-23,0.002084
2021-07-29,0.002160
2021-08-04,0.002699
2021-08-10,0.002080
2021-08-16,0.002007
2021-08-22,0.002313
2021-08-28,0.003389
2021-09-03,0.002699
2021-09-09,0.002751
2021-09-15,0.003260
2021-09-21,0.002672
2021-09-27,0.003117
2021-10-03,0.002944
2021-10-09,0.002684
2021-10-15,0.003437
2021-10-21,0.002347
2021-10-27,0.002790
2021-11-02,0.002884
2021-11-08,0.002561
2021-11-14,0.002551
2021-11-20,0.002707
2021-11-26,0.003251
2021-12-02,0.002756
2021-12-08,0.002494
2021-12-14,0.002268
2021-12-20,0.002352
2021-12-26,0.003382
2022-01-07,0.001991
2022-01-19,0.001085
2022-01-31,0.000093
2022-02-12,0.000359
2022-02-24,-0.001993
2022-03-08,0.000390
2022-03-20,-0.000633
2022-04-01,-0.000845
2022-04-13,-0.001996
2022-05-07,-0.003335
2022-05-19,-0.004001
2022-05-31,-0.003832
2022-06-12,-0.004707
2022-06-24,-0.003490
2022-07-06,-0.003785
2022-07-18,-0.004157
2022-07-30,-0.003595
2022-08-11,-0.003434
2022-08-23,-0.004030
2022-09-04,-0.003782
2022-09-16,-0.003607
2022-09-28,-0.004273
2022-10-10,-0.004752
2022-10-22,-0.004166
2022-11-03,-0.004192
2022-11-15,-0.003940
2022-11-27,-0.004172
2022-12-09,-0.004565
2022-12-21,-0.005629
2023-01-02,-0.005143
2023-01-14,-0.006062
2023-01-26,-0.005974
2023-02-07,-0.006322
2023-02-19,-0.006027
2023-03-03,-0.005620
2023-03-15,-0.006364
2023-03-27,-0.006360
2023-04-08,-0.005982
2023-04-20,-0.005881
2023-05-02,-0.005894
2023-05-14,-0.006201
2023-05-26,-0.005282
2023-06-07,-0.005360
2023-06-19,-0.006513
2023-07-01,-0.005184
2023-07-13,-0.004465
2023-07-25,-0.005078
2023-08-06,-0.005491
2023-08-18,-0.005361
2023-08-30,-0.005039
2023-09-11,-0.004798
2023-09-23,-0.004332
2023-10-05,-0.005070
2023-10-17,-0.005021
2023-11-10,-0.005486
2023-11-22,-0.006687
2023-12-04,-0.005876
2023-12-16,-0.005690
2023-12-28,-0.006674
2024-01-09,-0.006390
2024-01-21,-0.007521
2024-02-02,-0.007547
2024-02-26,-0.006091
2024-03-09,-0.009245
2024-03-21,-0.007617
2024-04-02,-0.006988
2024-04-14,-0.007833
2024-04-26,-0.007221
2024-05-08,-0.006678
2024-05-20,-0.006259
2024-06-01,-0.006430
2024-06-13,-0.007903
2024-06-25,-0.008734
2024-07-07,-0.008713
2024-07-19,-0.009421
