date,displacement_m
2021-01-06,-0.011245
2021-01-12,-0.013460
2021-01-18,-0.013617
2021-01-24,-0.010635
2021-01-30,-0.014976
2021-02-05,-0.020961
2021-02-11,-0.018738
2021-02-17,-0.018102
2021-02-23,-0.017645
2021-03-01,-0.017069
2021-03-07,-0.019252
2021-03-13,-0.016966
2021-03-19,-0.017295
2021-03-25,-0.024356
2021-03-31,-0.018788
2021-04-06,-0.021785
2021-04-12,-0.020113
2021-04-18,-0.019804
2021-04-24,-0.020082
2021-04-30,-0.021732
2021-05-06,-0.022456
2021-05-12,-0.019204
2021-05-18,-0.023789
2021-05-24,-0.024098
2021-05-30,-0.022543
2021-06-05,-0.024453
2021-06-11,-0.032777
2021-06-17,-0.024196
2021-06-23,-0.022881
2021-06-29,-0.025018
2021-07-05,-0.024618
2021-07-11,-0.023686
2021-07-17,-0.025698
2021-07-23,-0.020726
2021-07-29,-0.025810
2021-08-04,-0.019763
2021-08-10,-0.024775
2021-08-16,-0.028411
2021-08-22,-0.027946
2021-08-28,-0.030520
2021-09-03,-0.025618
2021-09-09,-0.024619
2021-09-15,-0.028219
2021-09-21,-0.025889
2021-09-27,-0.027466
2021-10-03,-0.023960
2021-10-09,-0.034235
2021-10-15,-0.031282
2021-10-21,-0.026037
2021-10-27,-0.028686
2021-11-02,-0.028039
2021-11-08,-0.022158
2021-11-14,-0.031564
2021-11-20,-0.023437
2021-11-26,-0.030642
2021-12-02,-0.030884
2021-12-08,-0.041117
2021-12-14,-0.031308
2021-12-20,-0.030861
2021-12-26,-0.031270
2022-01-07,-0.035472
2022-01-19,-0.035772
2022-01-31,-0.034749
2022-02-12,-0.039750
2022-02-24,-0.037241
2022-03-08,-0.034926
2022-03-20,-0.033631
2022-04-01,-0.043175
2022-04-13,-0.040038
2022-05-07,-0.040019
2022-05-19,-0.039597
2022-05-31,-0.041487
2022-06-12,-0.042928
2022-06-24,-0.044855
2022-07-06,-0.037246
2022-07-18,-0.043500
2022-07-30,-0.043214
2022-08-11,-0.042204
2022-08-23,-0.043968
2022-09-04,-0.047168
2022-09-16,-0.043452
2022-09-28,-0.048611
2022-10-10,-0.048406
2022-10-22,-0.042785
2022-11-03,-0.051084
2022-11-15,-0.050699
2022-11-27,-0.051412
2022-12-09,-0.057489
2022-12-21,-0.052834
2023-01-02,-0.050365
2023-01-14,-0.053866
2023-01-26,-0.053359
2023-02-07,-0.049886
2023-02-19,-0.050162
2023-03-03,-0.055145
2023-03-15,-0.060391
2023-03-27,-0.057116
2023-04-08,-0.056894
2023-04-20,-0.058305
2023-05-02,-0.059059
2023-05-14,-0.059138
2023-05-26,-0.058659
2023-06-07,-0.053849
2023-06-19,-0.055565
2023-07-01,-0.059980
2023-07-13,-0.057855
2023-07-25,-0.057736
2023-08-06,-0.064999
2023-08-18,-0.057618
2023-08-30,-0.063559
2023-09-11,-0.060362
2023-09-23,-0.055144
2023-10-05,-0.063386
2023-10-17,-0.057520
2023-11-10,-0.057761
2023-11-22,-0.061772
2023-12-04,-0.063689
2023-12-16,-0.062018
2023-12-28,-0.064545
2024-01-09,-0.062187
2024-01-21,-0.062047
2024-02-02,-0.064292
2024-02-26,-0.067116
2024-03-09,-0.061803
2024-03-21,-0.067227
2024-04-02,-0.061246
2024-04-14,-0.066184
2024-04-26,-0.062633
2024-05-08,-0.059625
2024-05-20,-0.061682
2024-06-01,-0.063784
2024-06-13,-0.064973
2024-06-25,-0.063722
2024-07-07,-0.066363
2024-07-19,-0.068407
