date,displacement_m
2021-01-06,-0.016488
2021-01-12,-0.017652
2021-01-18,-0.017284
2021-01-24,-0.016304
2021-01-30,-0.017285
2021-02-05,-0.022398
2021-02-11,-0.020328
2021-02-17,-0.018569
2021-02-23,-0.017886
2021-03-01,-0.017111
2021-03-07,-0.018607
2021-03-13,-0.015488
2021-03-19,-0.015022
2021-03-25,-0.022633
2021-03-31,-0.015609
2021-04-06,-0.019640
2021-04-12,-0.016936
2021-04-18,-0.017108
2021-04-24,-0.020226
2021-04-30,-0.017947
2021-05-06,-0.019379
2021-05-12,-0.015447
2021-05-18,-0.020362
2021-05-24,-0.021051
2021-05-30,-0.018425
2021-06-05,-0.019375
2021-06-11,-0.027569
2021-06-17,-0.020357
2021-06-23,-0.017044
2021-06-29,-0.020218
2021-07-05,-0.020047
2021-07-11,-0.017460
2021-07-17,-0.020246
2021-07-23,-0.014658
2021-07-29,-0.020160
2021-08-04,-0.013493
2021-08-10,-0.019412
2021-08-16,-0.022891
2021-08-22,-0.021040
2021-08-28,-0.023411
2021-09-03,-0.019310
2021-09-09,-0.018903
2021-09-15,-0.021802
2021-09-21,-0.018843
2021-09-27,-0.019815
2021-10-03,-0.017134
2021-10-09,-0.026898
2021-10-15,-0.023618
2021-10-21,-0.017839
2021-10-27,-0.021392
2021-11-02,-0.020276
2021-11-08,-0.013987
2021-11-14,-0.023046
2021-11-20,-0.014336
2021-11-26,-0.021078
2021-12-02,-0.022273
2021-12-08,-0.032275
2021-12-14,-0.021604
2021-12-20,-0.021040
2021-12-26,-0.022007
2022-01-07,-0.025316
2022-01-19,-0.026382
2022-01-31,-0.024621
2022-02-12,-0.029307
2022-02-24,-0.027116
2022-03-08,-0.024344
2022-03-20,-0.020026
2022-04-01,-0.025474
2022-04-13,-0.029281
2022-05-07,-0.027077
2022-05-19,-0.026011
2022-05-31,-0.027970
2022-06-12,-0.029051
2022-06-24,-0.028430
2022-07-06,-0.021995
2022-07-18,-0.028667
2022-07-30,-0.027738
2022-08-11,-0.026536
2022-08-23,-0.029681
2022-09-04,-0.031686
2022-09-16,-0.029244
2022-09-28,-0.032758
2022-10-10,-0.034294
2022-10-22,-0.024869
2022-11-03,-0.031988
2022-11-15,-0.032159
2022-11-27,-0.030667
2022-12-09,-0.036622
2022-12-21,-0.035293
2023-01-02,-0.031068
2023-01-14,-0.035516
2023-01-26,-0.035031
2023-02-07,-0.031792
2023-02-19,-0.032019
2023-03-03,-0.035721
2023-03-15,-0.039861
2023-03-27,-0.037295
2023-04-08,-0.037538
2023-04-20,-0.038651
2023-05-02,-0.040054
2023-05-14,-0.040044
2023-05-26,-0.039478
2023-06-07,-0.034541
2023-06-19,-0.037830
2023-07-01,-0.040835
2023-07-13,-0.037567
2023-07-25,-0.038303
2023-08-06,-0.045932
2023-08-18,-0.038121
2023-08-30,-0.042005
2023-09-11,-0.041493
2023-09-23,-0.036319
2023-10-05,-0.043648
2023-10-17,-0.038214
2023-11-10,-0.037705
2023-11-22,-0.042897
2023-12-04,-0.045236
2023-12-16,-0.040630
2023-12-28,-0.045770
2024-01-09,-0.042599
2024-01-21,-0.042963
2024-02-02,-0.044934
2024-02-26,-0.046919
2024-03-09,-0.045010
2024-03-21,-0.046572
2024-04-02,-0.040932
2024-04-14,-0.044227
2024-04-26,-0.041913
2024-05-08,-0.039629
2024-05-20,-0.040961
2024-06-01,-0.043376
2024-06-13,-0.045068
2024-06-25,-0.043542
2024-07-07,-0.045996
2024-07-19,-0.047875
