date,displacement_m
2021-01-06,-0.019912
2021-01-12,-0.021661
2021-01-18,-0.021335
2021-01-24,-0.019614
2021-01-30,-0.022127
2021-02-05,-0.026631
2021-02-11,-0.024992
2021-02-17,-0.022642
2021-02-23,-0.022231
2021-03-01,-0.021938
2021-03-07,-0.024697
2021-03-13,-0.021699
2021-03-19,-0.022847
2021-03-25,-0.030084
2021-03-31,-0.024854
2021-04-06,-0.028525
2021-04-12,-0.026687
2021-04-18,-0.026837
2021-04-24,-0.026870
2021-04-30,-0.028167
2021-05-06,-0.029479
2021-05-12,-0.026352
2021-05-18,-0.031197
2021-05-24,-0.031699
2021-05-30,-0.029714
2021-06-05,-0.031920
2021-06-11,-0.040208
2021-06-17,-0.032257
2021-06-23,-0.030026
2021-06-29,-0.032356
2021-07-05,-0.032370
2021-07-11,-0.030786
2021-07-17,-0.033527
2021-07-23,-0.028284
2021-07-29,-0.033616
2021-08-04,-0.026916
2021-08-10,-0.032521
2021-08-16,-0.037104
2021-08-22,-0.035370
2021-08-28,-0.038341
2021-09-03,-0.033975
2021-09-09,-0.032203
2021-09-15,-0.035666
2021-09-21,-0.032733
2021-09-27,-0.033942
2021-10-03,-0.030824
2021-10-09,-0.041509
2021-10-15,-0.038320
2021-10-21,-0.032730
2021-10-27,-0.036103
2021-11-02,-0.034830
2021-11-08,-0.029290
2021-11-14,-0.038301
2021-11-20,-0.029949
2021-11-26,-0.037045
2021-12-02,-0.037640
2021-12-08,-0.047818
2021-12-14,-0.038012
2021-12-20,-0.037492
2021-12-26,-0.038132
2022-01-07,-0.042290
2022-01-19,-0.043619
2022-01-31,-0.043230
2022-02-12,-0.049130
2022-02-24,-0.047803
2022-03-08,-0.045893
2022-03-20,-0.047203
2022-04-01,-0.049574
2022-04-13,-0.054237
2022-05-07,-0.045573
2022-05-19,-0.047691
2022-05-31,-0.050996
2022-06-12,-0.053058
2022-06-24,-0.054442
2022-07-06,-0.045905
2022-07-18,-0.053156
2022-07-30,-0.052139
2022-08-11,-0.050482
2022-08-23,-0.052680
2022-09-04,-0.055415
2022-09-16,-0.052544
2022-09-28,-0.056841
2022-10-10,-0.058069
2022-10-22,-0.050289
2022-11-03,-0.059516
2022-11-15,-0.058371
2022-11-27,-0.057837
2022-12-09,-0.063471
2022-12-21,-0.063891
2023-01-02,-0.060332
2023-01-14,-0.065629
2023-01-26,-0.065159
2023-02-07,-0.061714
2023-02-19,-0.062912
2023-03-03,-0.066843
2023-03-15,-0.069811
2023-03-27,-0.068766
2023-04-08,-0.069239
2023-04-20,-0.070356
2023-05-02,-0.071686
2023-05-14,-0.072061
2023-05-26,-0.070894
2023-06-07,-0.066510
2023-06-19,-0.069597
2023-07-01,-0.073506
2023-07-13,-0.070679
2023-07-25,-0.071324
2023-08-06,-0.079468
2023-08-18,-0.071687
2023-08-30,-0.076833
2023-09-11,-0.074931
2023-09-23,-0.069457
2023-10-05,-0.077954
2023-10-17,-0.072808
2023-11-10,-0.072043
2023-11-22,-0.077545
2023-12-04,-0.079467
2023-12-16,-0.076823
2023-12-28,-0.080674
2024-01-09,-0.077891
2024-01-21,-0.078379
2024-02-02,-0.081029
2024-02-26,-0.084204
2024-03-09,-0.079789
2024-03-21,-0.083678
2024-04-02,-0.077944
2024-04-14,-0.082731
2024-04-26,-0.079665
2024-05-08,-0.077044
2024-05-20,-0.078766
2024-06-01,-0.081387
2024-06-13,-0.083415
2024-06-25,-0.082239
2024-07-07,-0.085285
2024-07-19,-0.087800
