date,displacement_m
2021-01-06,-0.024530
2021-01-12,-0.026207
2021-01-18,-0.025793
2021-01-24,-0.024285
2021-01-30,-0.027106
2021-02-05,-0.031310
2021-02-11,-0.029328
2021-02-17,-0.027614
2021-02-23,-0.027111
2021-03-01,-0.026521
2021-03-07,-0.029417
2021-03-13,-0.026272
2021-03-19,-0.027245
2021-03-25,-0.034376
2021-03-31,-0.028527
2021-04-06,-0.032155
2021-04-12,-0.030034
2021-04-18,-0.030444
2021-04-24,-0.030949
2021-04-30,-0.032402
2021-05-06,-0.033226
2021-05-12,-0.030140
2021-05-18,-0.034885
2021-05-24,-0.035157
2021-05-30,-0.033800
2021-06-05,-0.035608
2021-06-11,-0.043816
2021-06-17,-0.036145
2021-06-23,-0.033757
2021-06-29,-0.036354
2021-07-05,-0.036179
2021-07-11,-0.034480
2021-07-17,-0.037232
2021-07-23,-0.031497
2021-07-29,-0.036999
2021-08-04,-0.030050
2021-08-10,-0.035370
2021-08-16,-0.038991
2021-08-22,-0.037867
2021-08-28,-0.040634
2021-09-03,-0.036386
2021-09-09,-0.035052
2021-09-15,-0.037519
2021-09-21,-0.036282
2021-09-27,-0.036871
2021-10-03,-0.033853
2021-10-09,-0.043510
2021-10-15,-0.041220
2021-10-21,-0.035098
2021-10-27,-0.038713
2021-11-02,-0.036922
2021-11-08,-0.030993
2021-11-14,-0.040242
2021-11-20,-0.031988
2021-11-26,-0.039510
2021-12-02,-0.039759
2021-12-08,-0.050386
2021-12-14,-0.039310
2021-12-20,-0.037501
2021-12-26,-0.038660
2022-01-07,-0.042348
2022-01-19,-0.043159
2022-01-31,-0.042416
2022-02-12,-0.048542
2022-02-24,-0.046516
2022-03-08,-0.045682
2022-03-20,-0.045331
2022-04-01,-0.049493
2022-04-13,-0.052369
2022-05-07,-0.049156
2022-05-19,-0.049416
2022-05-31,-0.051146
2022-06-12,-0.052554
2022-06-24,-0.054305
2022-07-06,-0.045677
2022-07-18,-0.053408
2022-07-30,-0.052246
2022-08-11,-0.051329
2022-08-23,-0.052172
2022-09-04,-0.055009
2022-09-16,-0.052215
2022-09-28,-0.056495
2022-10-10,-0.057111
2022-10-22,-0.050808
2022-11-03,-0.058619
2022-11-15,-0.058062
2022-11-27,-0.056630
2022-12-09,-0.062290
2022-12-21,-0.061816
2023-01-02,-0.058655
2023-01-14,-0.063613
2023-01-26,-0.063150
2023-02-07,-0.058090
2023-02-19,-0.059271
2023-03-03,-0.062583
2023-03-15,-0.066956
2023-03-27,-0.064254
2023-04-08,-0.063659
2023-04-20,-0.065803
2023-05-02,-0.066311
2023-05-14,-0.066396
2023-05-26,-0.066389
2023-06-07,-0.062048
2023-06-19,-0.064084
2023-07-01,-0.068229
2023-07-13,-0.065627
2023-07-25,-0.066147
2023-08-06,-0.073668
2023-08-18,-0.066395
2023-08-30,-0.072286
2023-09-11,-0.070428
2023-09-23,-0.064837
2023-10-05,-0.074038
2023-10-17,-0.068524
2023-11-10,-0.068955
2023-11-22,-0.073362
2023-12-04,-0.076072
2023-12-16,-0.073331
2023-12-28,-0.077492
2024-01-09,-0.075450
2024-01-21,-0.075744
2024-02-02,-0.078671
2024-02-26,-0.082069
2024-03-09,-0.078847
2024-03-21,-0.082850
2024-04-02,-0.077281
2024-04-14,-0.084664
2024-04-26,-0.078278
2024-05-08,-0.074784
2024-05-20,-0.077639
2024-06-01,-0.080091
2024-06-13,-0.082111
2024-06-25,-0.081520
2024-07-07,-0.084677
2024-07-19,-0.087710
