date,displacement_m
2021-01-06,-0.003907
2021-01-12,-0.004790
2021-01-18,-0.004491
2021-01-24,-0.001039
2021-01-30,-0.004128
2021-02-05,-0.009790
2021-02-11,-0.006422
2021-02-17,-0.005680
2021-02-23,-0.004470
2021-03-01,-0.003572
2021-03-07,-0.005333
2021-03-13,-0.002099
2021-03-19,-0.002094
2021-03-25,-0.008868
2021-03-31,-0.003148
2021-04-06,-0.006155
2021-04-12,-0.004625
2021-04-18,-0.003425
2021-04-24,-0.002772
2021-04-30,-0.004773
2021-05-06,-0.005443
2021-05-12,-0.001605
2021-05-18,-0.006452
2021-05-24,-0.006039
2021-05-30,-0.004407
2021-06-05,-0.006884
2021-06-11,-0.014117
2021-06-17,-0.005390
2021-06-23,-0.003180
2021-06-29,-0.005536
2021-07-05,-0.004984
2021-07-11,-0.003884
2021-07-17,-0.006140
2021-07-23,-0.000856
2021-07-29,-0.005666
2021-08-04,0.001677
2021-08-10,-0.004217
2021-08-16,-0.008702
2021-08-22,-0.006379
2021-08-28,-0.009850
2021-09-03,-0.003978
2021-09-09,-0.002236
2021-09-15,-0.005611
2021-09-21,-0.004221
2021-09-27,-0.004624
2021-10-03,-0.000914
2021-10-09,-0.012129
2021-10-15,-0.008587
2021-10-21,-0.002224
2021-10-27,-0.006211
2021-11-02,-0.004058
2021-11-08,0.001211
2021-11-14,-0.007699
2021-11-20,0.001288
2021-11-26,-0.005232
2021-12-02,-0.005709
2021-12-08,-0.015139
2021-12-14,-0.005386
2021-12-20,-0.004817
2021-12-26,-0.004441
2022-01-07,-0.008322
2022-01-19,-0.008673
2022-01-31,-0.007269
2022-02-12,-0.013018
2022-02-24,-0.009325
2022-03-08,-0.007427
2022-03-20,-0.006905
2022-04-01,-0.012215
2022-04-13,-0.014140
2022-05-07,-0.014718
2022-05-19,-0.013795
2022-05-31,-0.014040
2022-06-12,-0.015057
2022-06-24,-0.016427
2022-07-06,-0.009392
2022-07-18,-0.015382
2022-07-30,-0.015053
2022-08-11,-0.013184
2022-08-23,-0.015827
2022-09-04,-0.018243
2022-09-16,-0.014314
2022-09-28,-0.018651
2022-10-10,-0.017995
2022-10-22,-0.010608
2022-11-03,-0.019089
2022-11-15,-0.016225
2022-11-27,-0.015861
2022-12-09,-0.020839
2022-12-21,-0.019867
2023-01-02,-0.016511
2023-01-14,-0.020818
2023-01-26,-0.019425
2023-02-07,-0.014745
2023-02-19,-0.014568
2023-03-03,-0.018757
2023-03-15,-0.023123
2023-03-27,-0.019546
2023-04-08,-0.019217
2023-04-20,-0.019980
2023-05-02,-0.020956
2023-05-14,-0.020865
2023-05-26,-0.019746
2023-06-07,-0.014473
2023-06-19,-0.017045
2023-07-01,-0.021102
2023-07-13,-0.018451
2023-07-25,-0.018082
2023-08-06,-0.025514
2023-08-18,-0.017737
2023-08-30,-0.023479
2023-09-11,-0.020443
2023-09-23,-0.015264
2023-10-05,-0.023826
2023-10-17,-0.017949
2023-11-10,-0.017504
2023-11-22,-0.022260
2023-12-04,-0.023561
2023-12-16,-0.021789
2023-12-28,-0.024978
2024-01-09,-0.022123
2024-01-21,-0.022013
2024-02-02,-0.024490
2024-02-26,-0.027514
2024-03-09,-0.020789
2024-03-21,-0.026042
2024-04-02,-0.020431
2024-04-14,-0.023619
2024-04-26,-0.021293
2024-05-08,-0.018789
2024-05-20,-0.020427
2024-06-01,-0.022176
2024-06-13,-0.024026
2024-06-25,-0.022556
2024-07-07,-0.026209
2024-07-19,-0.028511
