date,displacement_m
2021-01-06,-0.007506
2021-01-12,-0.008074
2021-01-18,-0.008031
2021-01-24,-0.005347
2021-01-30,-0.009232
2021-02-05,-0.014023
2021-02-11,-0.010756
2021-02-17,-0.009476
2021-02-23,-0.008131
2021-03-01,-0.006669
2021-03-07,-0.010499
2021-03-13,-0.006605
2021-03-19,-0.007695
2021-03-25,-0.014085
2021-03-31,-0.008049
2021-04-06,-0.010635
2021-04-12,-0.010276
2021-04-18,-0.008719
2021-04-24,-0.010838
2021-04-30,-0.010632
2021-05-06,-0.010621
2021-05-12,-0.006754
2021-05-18,-0.011680
2021-05-24,-0.010892
2021-05-30,-0.010093
2021-06-05,-0.012725
2021-06-11,-0.020288
2021-06-17,-0.011350
2021-06-23,-0.009585
2021-06-29,-0.011782
2021-07-05,-0.011337
2021-07-11,-0.011560
2021-07-17,-0.013064
2021-07-23,-0.007827
2021-07-29,-0.012683
2021-08-04,-0.005671
2021-08-10,-0.010304
2021-08-16,-0.015083
2021-08-22,-0.012518
2021-08-28,-0.017311
2021-09-03,-0.012661
2021-09-09,-0.009883
2021-09-15,-0.014515
2021-09-21,-0.011137
2021-09-27,-0.012336
2021-10-03,-0.010263
2021-10-09,-0.019384
2021-10-15,-0.016192
2021-10-21,-0.009385
2021-10-27,-0.013581
2021-11-02,-0.011195
2021-11-08,-0.005989
2021-11-14,-0.014637
2021-11-20,-0.005469
2021-11-26,-0.013388
2021-12-02,-0.013068
2021-12-08,-0.021563
2021-12-14,-0.013042
2021-12-20,-0.012289
2021-12-26,-0.012219
2022-01-07,-0.017323
2022-01-19,-0.016549
2022-01-31,-0.014094
2022-02-12,-0.019477
2022-02-24,-0.014356
2022-03-08,-0.013691
2022-03-20,-0.010128
2022-04-01,-0.016080
2022-04-13,-0.018043
2022-05-07,-0.015619
2022-05-19,-0.015933
2022-05-31,-0.016574
2022-06-12,-0.016657
2022-06-24,-0.018895
2022-07-06,-0.011997
2022-07-18,-0.018113
2022-07-30,-0.017913
2022-08-11,-0.016638
2022-08-23,-0.017679
2022-09-04,-0.020376
2022-09-16,-0.016466
2022-09-28,-0.020109
2022-10-10,-0.018645
2022-10-22,-0.011565
2022-11-03,-0.019267
2022-11-15,-0.017413
2022-11-27,-0.017361
2022-12-09,-0.023069
2022-12-21,-0.020470
2023-01-02,-0.016571
2023-01-14,-0.018858
2023-01-26,-0.017558
2023-02-07,-0.013564
2023-02-19,-0.011993
2023-03-03,-0.016964
2023-03-15,-0.019342
2023-03-27,-0.016121
2023-04-08,-0.016136
2023-04-20,-0.016920
2023-05-02,-0.018859
2023-05-14,-0.017555
2023-05-26,-0.017967
2023-06-07,-0.012321
2023-06-19,-0.015239
2023-07-01,-0.018922
2023-07-13,-0.017493
2023-07-25,-0.016372
2023-08-06,-0.023193
2023-08-18,-0.016311
2023-08-30,-0.021317
2023-09-11,-0.019531
2023-09-23,-0.015034
2023-10-05,-0.022564
2023-10-17,-0.015874
2023-11-10,-0.015264
2023-11-22,-0.019096
2023-12-04,-0.021691
2023-12-16,-0.020395
2023-12-28,-0.021875
2024-01-09,-0.020019
2024-01-21,-0.018899
2024-02-02,-0.022133
2024-02-26,-0.025133
2024-03-09,-0.016250
2024-03-21,-0.023713
2024-04-02,-0.017764
2024-04-14,-0.018035
2024-04-26,-0.019463
2024-05-08,-0.017104
2024-05-20,-0.018769
2024-06-01,-0.020836
2024-06-13,-0.020968
2024-06-25,-0.018932
2024-07-07,-0.022506
2024-07-19,-0.023974
