date,displacement_m
2021-01-06,-0.010247
2021-01-12,-0.011093
2021-01-18,-0.010689
2021-01-24,-0.012041
2021-01-30,-0.010197
2021-02-05,-0.009580
2021-02-11,-0.011323
2021-02-17,-0.010372
2021-02-23,-0.011192
2021-03-01,-0.012023
2021-03-07,-0.010323
2021-03-13,-0.011013
2021-03-19,-0.010248
2021-03-25,-0.010891
2021-03-31,-0.009738
2021-04-06,-0.009348
2021-04-12,-0.008728
2021-04-18,-0.010332
2021-04-24,-0.012207
2021-04-30,-0.009124
2021-05-06,-0.010257
2021-05-12,-0.010122
2021-05-18,-0.010311
2021-05-24,-0.011396
2021-05-30,-0.010220
2021-06-05,-0.008830
2021-06-11,-0.009476
2021-06-17,-0.010415
2021-06-23,-0.009555
2021-06-29,-0.010525
2021-07-05,-0.011048
2021-07-11,-0.008941
2021-07-17,-0.009897
2021-07-23,-0.009648
2021-07-29,-0.010066
2021-08-04,-0.010429
2021-08-10,-0.011222
2021-08-16,-0.010234
2021-08-22,-0.010135
2021-08-28,-0.008457
2021-09-03,-0.009829
2021-09-09,-0.011476
2021-09-15,-0.010149
2021-09-21,-0.010280
2021-09-27,-0.009972
2021-10-03,-0.010256
2021-10-09,-0.009848
2021-10-15,-0.009797
2021-10-21,-0.010380
2021-10-27,-0.010234
2021-11-02,-0.011059
2021-11-08,-0.010468
2021-11-14,-0.010621
2021-11-20,-0.011568
2021-11-26,-0.010249
2021-12-02,-0.011916
2021-12-08,-0.012793
2021-12-14,-0.011950
2021-12-20,-0.012175
2021-12-26,-0.012165
2022-01-07,-0.012786
2022-01-19,-0.013407
2022-01-31,-0.013900
2022-02-12,-0.013250
2022-02-24,-0.015732
2022-03-08,-0.014639
2022-03-20,-0.013217
2022-04-01,-0.013535
2022-04-13,-0.014121
2022-05-07,-0.014542
2022-05-19,-0.014650
2022-05-31,-0.015194
2022-06-12,-0.016102
2022-06-24,-0.013437
2022-07-06,-0.014129
2022-07-18,-0.014609
2022-07-30,-0.014278
2022-08-11,-0.014294
2022-08-23,-0.015752
2022-09-04,-0.015063
2022-09-16,-0.016294
2022-09-28,-0.016765
2022-10-10,-0.017666
2022-10-22,-0.016963
2022-11-03,-0.016049
2022-11-15,-0.017829
2022-11-27,-0.016584
2022-12-09,-0.017828
2022-12-21,-0.019653
2023-01-02,-0.018467
2023-01-14,-0.019909
2023-01-26,-0.020192
2023-02-07,-0.021490
2023-02-19,-0.022316
2023-03-03,-0.021794
2023-03-15,-0.024023
2023-03-27,-0.023838
2023-04-08,-0.023155
2023-04-20,-0.023737
2023-05-02,-0.023509
2023-05-14,-0.024208
2023-05-26,-0.024458
2023-06-07,-0.024402
2023-06-19,-0.025172
2023-07-01,-0.023739
2023-07-13,-0.023043
2023-07-25,-0.024200
2023-08-06,-0.024827
2023-08-18,-0.024462
2023-08-30,-0.022704
2023-09-11,-0.024340
2023-09-23,-0.024092
2023-10-05,-0.023874
2023-10-17,-0.023370
2023-11-10,-0.025123
2023-11-22,-0.025510
2023-12-04,-0.025122
2023-12-16,-0.022834
2023-12-28,-0.025110
2024-01-09,-0.024681
2024-01-21,-0.025912
2024-02-02,-0.024985
2024-02-26,-0.023218
2024-03-09,-0.028681
2024-03-21,-0.025115
2024-04-02,-0.024349
2024-04-14,-0.025546
2024-04-26,-0.023937
2024-05-08,-0.023181
2024-05-20,-0.022706
2024-06-01,-0.023570
2024-06-13,-0.024308
2024-06-25,-0.024972
2024-07-07,-0.023878
2024-07-19,-0.023898
